type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,Re_cleaned,Rct_cleaned
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0047,0,1,00001.csv,1.6743047446975208,,,,
impedance,[2010.       7.      21.      16.      53.      45.968],24,B0047,1,2,00002.csv,,0.0560578334388809,0.2009701658445833,0.0560578334388809,0.2009701658445833
charge,[2010.       7.      21.      17.      25.      40.671],4,B0047,2,3,00003.csv,,,,,
impedance,[2010    7   21   20   31    5],24,B0047,3,4,00004.csv,,0.053191858509211,0.1647339991486473,0.053191858509211,0.1647339991486473
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0047,4,5,00005.csv,1.5243662105099023,,,,
charge,[2010.       7.      21.      22.      38.      43.484],4,B0047,5,6,00006.csv,,,,,
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0047,6,7,00007.csv,1.5080762969973425,,,,
charge,[2010.       7.      22.       3.      14.      53.218],4,B0047,7,8,00008.csv,,,,,
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0047,8,9,00009.csv,1.4835577960067696,,,,
charge,[2010.       7.      22.       7.      50.      21.625],4,B0047,9,10,00010.csv,,,,,
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0047,10,11,00011.csv,1.4671391666146525,,,,
charge,[2010.       7.      22.      12.      25.       3.656],4,B0047,11,12,00012.csv,,,,,
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0047,12,13,00013.csv,1.448858156982267,,,,
impedance,[2010.       7.      22.      17.       3.       7.062],24,B0047,13,14,00014.csv,,0.0596379150105105,0.210398722638349,0.0596379150105105,0.210398722638349
charge,[2010.       7.      22.      17.      34.      59.312],4,B0047,14,15,00015.csv,,,,,
impedance,[2010.     7.    22.    20.    40.    25.5],24,B0047,15,16,00016.csv,,0.0551250536162427,0.1754882075917004,0.0551250536162427,0.1754882075917004
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0047,16,17,00017.csv,1.4458534180949325,,,,
impedance,[2010.       7.      23.      11.      35.      36.875],24,B0047,17,18,00018.csv,,0.0588784853124444,0.1909568709609001,0.0588784853124444,0.1909568709609001
charge,[2010.      7.     23.     12.      7.     29.25],4,B0047,18,19,00019.csv,,,,,
impedance,[2010.       7.      23.      15.      12.      59.218],24,B0047,19,20,00020.csv,,0.0528128215980842,0.1722515233415132,0.0528128215980842,0.1722515233415132
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0047,20,21,00021.csv,1.431118266178283,,,,
charge,[2010.       7.      23.      17.      17.      36.625],4,B0047,21,22,00022.csv,,,,,
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0047,22,23,00023.csv,1.4192745516578533,,,,
charge,[2010.       7.      23.      21.      50.      50.578],4,B0047,23,24,00024.csv,,,,,
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0047,24,25,00025.csv,1.3999974221808271,,,,
charge,[2.0100e+03 7.0000e+00 2.4000e+01 2.0000e+00 2.3000e+01 2.1453e+01],4,B0047,25,26,00026.csv,,,,,
discharge,[2010.       7.      24.       5.      24.      46.453],4,B0047,26,27,00027.csv,1.3885156686114437,,,,
charge,[2010.       7.      24.       6.      55.      11.046],4,B0047,27,28,00028.csv,,,,,
discharge,[2010    7   24    9   56   39],4,B0047,28,29,00029.csv,1.3652234669528964,,,,
impedance,[2010.       7.      24.      11.      30.      35.656],24,B0047,29,30,00030.csv,,0.057516600514537,0.196364379896874,0.057516600514537,0.196364379896874
charge,[2.010e+03 7.000e+00 2.400e+01 1.200e+01 2.000e+00 2.839e+01],4,B0047,30,31,00031.csv,,,,,
impedance,[2010.       7.      24.      15.       7.      54.015],24,B0047,31,32,00032.csv,,0.0535342449436397,0.1777073031474945,0.0535342449436397,0.1777073031474945
discharge,[2010.       7.      27.      16.      12.       5.718],4,B0047,32,33,00033.csv,1.4060442272970963,,,,
impedance,[2010.     7.    27.    17.    47.    10.5],24,B0047,33,34,00034.csv,,0.0620311314352937,0.2008978928903059,0.0620311314352937,0.2008978928903059
charge,[2010.       7.      27.      18.      19.       3.281],4,B0047,34,35,00035.csv,,,,,
impedance,[2010.       7.      27.      21.      24.      31.406],24,B0047,35,36,00036.csv,,0.0585849037401347,0.1841540797551404,0.0585849037401347,0.1841540797551404
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0047,36,37,00037.csv,1.4057541613525781,,,,
charge,[2010.       7.      27.      23.      28.       8.828],4,B0047,37,38,00038.csv,,,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0047,38,39,00039.csv,1.3867662881727878,,,,
charge,[2010.       7.      28.       4.       0.      28.265],4,B0047,39,40,00040.csv,,,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0047,40,41,00041.csv,1.3705053061420223,,,,
charge,[2010.       7.      28.       8.      31.      35.609],4,B0047,41,42,00042.csv,,,,,
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0047,42,43,00043.csv,1.3497431114823601,,,,
charge,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,B0047,43,44,00044.csv,,,,,
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0047,44,45,00045.csv,1.3251533367939783,,,,
impedance,[2.01e+03 7.00e+00 2.80e+01 1.70e+01 3.60e+01 7.34e-01],24,B0047,45,46,00046.csv,,0.06241051517902,0.2143932331877175,0.06241051517902,0.2143932331877175
charge,[2010.       7.      28.      18.       7.      53.906],4,B0047,46,47,00047.csv,,,,,
impedance,[2010.       7.      28.      21.      13.      22.187],24,B0047,47,48,00048.csv,,0.0580894405960351,0.1866897040933544,0.0580894405960351,0.1866897040933544
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0047,48,49,00049.csv,1.3111943869635805,,,,
charge,[2.01e+03 7.00e+00 2.80e+01 2.30e+01 1.30e+01 7.96e-01],4,B0047,49,50,00050.csv,,,,,
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0047,50,51,00051.csv,0,,,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 5.5000e+01 5.2843e+01],4,B0047,51,52,00052.csv,,,,,
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0047,52,53,00053.csv,1.3394234405932892,,,,
charge,[2010.       7.      29.       7.      27.      57.484],4,B0047,53,54,00054.csv,,,,,
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0047,54,55,00055.csv,1.2849157142560723,,,,
charge,[2010.       7.      29.      11.      56.      11.593],4,B0047,55,56,00056.csv,,,,,
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0047,56,57,00057.csv,1.281719159327807,,,,
impedance,[2010.      7.     29.     16.     27.     30.14],24,B0047,57,58,00058.csv,,0.065454460462172,0.2214535005516927,0.065454460462172,0.2214535005516927
charge,[2010.       7.      29.      16.      59.      23.625],4,B0047,58,59,00059.csv,,,,,
impedance,[2010.       7.      29.      20.       4.      55.562],24,B0047,59,60,00060.csv,,0.0588935611351396,0.2028386183123608,0.0588935611351396,0.2028386183123608
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0047,60,61,00061.csv,1.2600051642942829,,,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.2000e+01 2.0000e+00 1.5765e+01],4,B0047,61,62,00062.csv,,,,,
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0047,62,63,00063.csv,1.266070385993126,,,,
charge,[2.0100e+03 7.0000e+00 3.0000e+01 2.0000e+00 2.8000e+01 4.1125e+01],4,B0047,63,64,00064.csv,,,,,
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0047,64,65,00065.csv,1.2413590294280803,,,,
charge,[2010.       7.      30.       6.      54.      35.109],4,B0047,65,66,00066.csv,,,,,
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0047,66,67,00067.csv,1.2298873703485311,,,,
charge,[2010.       7.      30.      11.      19.      35.093],4,B0047,67,68,00068.csv,,,,,
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0047,68,69,00069.csv,1.228088614506696,,,,
impedance,[2010.       7.      30.      15.      48.      12.125],24,B0047,69,70,00070.csv,,0.0674369984544658,0.2318214627184461,0.0674369984544658,0.2318214627184461
charge,[2010    7   30   16   20    6],4,B0047,70,71,00071.csv,,,,,
impedance,[2010.       7.      30.      19.      25.      34.984],24,B0047,71,72,00072.csv,,0.0606574704180075,0.2139967817848608,0.0606574704180075,0.2139967817848608
discharge,[2010.       7.      30.      19.      57.      28.859],4,B0047,72,73,00073.csv,1.2139857189070042,,,,
charge,[2010.       7.      30.      21.      20.      14.843],4,B0047,73,74,00074.csv,,,,,
discharge,[2010.       7.      31.       0.      21.      41.812],4,B0047,74,75,00075.csv,1.2173435064564189,,,,
charge,[2.0100e+03 7.0000e+00 3.1000e+01 1.0000e+00 4.3000e+01 5.7734e+01],4,B0047,75,76,00076.csv,,,,,
discharge,[2010.       7.      31.       4.      45.      24.171],4,B0047,76,77,00077.csv,1.2073445944515917,,,,
charge,[2010.       7.      31.       6.       7.       5.562],4,B0047,77,78,00078.csv,,,,,
discharge,[2010.       7.      31.       9.       8.      38.406],4,B0047,78,79,00079.csv,1.18804049227045,,,,
charge,[2010.       7.      31.      10.      29.      39.359],4,B0047,79,80,00080.csv,,,,,
discharge,[2010.       7.      31.      13.      31.       7.296],4,B0047,80,81,00081.csv,1.186304749886542,,,,
impedance,[2010.       7.      31.      14.      55.      48.421],24,B0047,81,82,00082.csv,,0.0701001536900913,0.2298779700752319,0.0701001536900913,0.2298779700752319
charge,[2010.       7.      31.      15.      27.      42.562],4,B0047,82,83,00083.csv,,,,,
impedance,[2010.       7.      31.      18.      33.      11.796],24,B0047,83,84,00084.csv,,0.0655071824171395,0.2035516081169149,0.0655071824171395,0.2035516081169149
discharge,[2010.       8.       3.      15.      52.      53.046],4,B0047,84,85,00085.csv,1.2613935471028506,,,,
impedance,[2010.       8.       3.      17.      20.      28.062],24,B0047,85,86,00086.csv,,0.0654750455838239,0.2369289548699854,0.0654750455838239,0.2369289548699854
charge,[2010.       8.       3.      17.      52.      22.375],4,B0047,86,87,00087.csv,,,,,
impedance,[2010.       8.       3.      20.      57.      49.484],24,B0047,87,88,00088.csv,,0.0640501828485657,0.2030937186647097,0.0640501828485657,0.2030937186647097
discharge,[2010.       8.       3.      21.      29.      43.953],4,B0047,88,89,00089.csv,1.2648246158850653,,,,
charge,[2010.       8.       3.      22.      54.      43.062],4,B0047,89,90,00090.csv,,,,,
discharge,[2.0100e+03 8.0000e+00 4.0000e+00 1.0000e+00 5.6000e+01 1.2734e+01],4,B0047,90,91,00091.csv,1.2466494548982199,,,,
charge,[2010.      8.      4.      3.     19.     23.25],4,B0047,91,92,00092.csv,,,,,
discharge,[2010.       8.       4.       6.      20.      57.078],4,B0047,92,93,00093.csv,1.2333924152795082,,,,
charge,[2010.       8.       4.       7.      43.      19.828],4,B0047,93,94,00094.csv,,,,,
discharge,[2010.      8.      4.     10.     44.     49.39],4,B0047,94,95,00095.csv,1.2129250072037692,,,,
charge,[2010.       8.       4.      12.       6.      28.531],4,B0047,95,96,00096.csv,,,,,
discharge,[2010.       8.       4.      15.       7.      58.828],4,B0047,96,97,00097.csv,1.1999106597943647,,,,
impedance,[2010.       8.       4.      16.      32.      38.906],24,B0047,97,98,00098.csv,,0.0670982447403723,0.2303958167446359,0.0670982447403723,0.2303958167446359
charge,[2010.       8.       4.      17.       4.      33.625],4,B0047,98,99,00099.csv,,,,,
impedance,[2010.       8.       4.      20.      10.       4.812],24,B0047,99,100,00100.csv,,0.0658333505063299,0.2204415510699875,0.0658333505063299,0.2204415510699875
discharge,[2010.     8.     4.    20.    41.    59.5],4,B0047,100,101,00101.csv,1.1902559038393383,,,,
charge,[2.0100e+03 8.0000e+00 4.0000e+00 2.2000e+01 2.0000e+00 3.3781e+01],4,B0047,101,102,00102.csv,,,,,
discharge,[2.010e+03 8.000e+00 5.000e+00 1.000e+00 4.000e+00 3.312e+00],4,B0047,102,103,00103.csv,1.1892563795455853,,,,
charge,[2.0100e+03 8.0000e+00 5.0000e+00 2.0000e+00 2.3000e+01 3.5171e+01],4,B0047,103,104,00104.csv,,,,,
discharge,[2010.       8.       5.       5.      25.       7.906],4,B0047,104,105,00105.csv,1.167069685125939,,,,
charge,[2010.       8.       5.       6.      44.       4.281],4,B0047,105,106,00106.csv,,,,,
discharge,[2010.      8.      5.      9.     45.     36.39],4,B0047,106,107,00107.csv,1.1615348403090369,,,,
charge,[2010.       8.       5.      11.       4.      13.765],4,B0047,107,108,00108.csv,,,,,
discharge,[2010.       8.       5.      14.       5.      44.828],4,B0047,108,109,00109.csv,1.1555563844349988,,,,
impedance,[2010.       8.       5.      15.      27.      47.125],24,B0047,109,110,00110.csv,,0.0698210369377856,0.2478717650746093,0.0698210369377856,0.2478717650746093
charge,[2010.       8.       5.      15.      59.      42.062],4,B0047,110,111,00111.csv,,,,,
impedance,[2010.       8.       5.      19.       5.      13.171],24,B0047,111,112,00112.csv,,0.0687878090911825,0.2136033662022438,0.0687878090911825,0.2136033662022438
discharge,[2010.       8.       5.      19.      37.       8.125],4,B0047,112,113,00113.csv,1.1488524666097713,,,,
charge,[2010.       8.       5.      20.      54.      47.218],4,B0047,113,114,00114.csv,,,,,
discharge,[2010.       8.       5.      23.      56.      22.437],4,B0047,114,115,00115.csv,1.143572986788779,,,,
charge,[2.0100e+03 8.0000e+00 6.0000e+00 1.0000e+00 1.3000e+01 2.8265e+01],4,B0047,115,116,00116.csv,,,,,
discharge,[2010.       8.       6.       4.      15.       3.234],4,B0047,116,117,00117.csv,1.1418015379428537,,,,
charge,[2010.       8.       6.       5.      31.      48.156],4,B0047,117,118,00118.csv,,,,,
discharge,[2010.      8.      6.      8.     33.     24.75],4,B0047,118,119,00119.csv,1.136058647502255,,,,
